legal-term	+/connected-to
connected-to	+/
represent	+/legal-term, connected-to
unit-of-government	+/legal-term, government-body,connected-to
executive-body	+/legal-term,lconnected-to
government-body	+/legal-term, unit-of-government, connected-to
head-state	+/legal-term, represent, connected-to
head-government	+/legal-term, represent,connected-to
leader	+/legal-term, represent,connected-to
local-authority	+/legal-term,connected-to
mandate	+/legal-term,connected-to
currency	+/legal-term,connected-to
constitution	+/legal-term,connected-to
national-parliament	+/legal-term, parliament,connected-to
parliament	+/legal-term,connected-to
