owned-by	+/owner,owns,owned
owner	+/owned-by,own,owned
owned	+/owned-by,own,owner
own	+/owned-by,owned,owner
is-subsidiary	+/owned-by,owned,owner,own,subsidiary
local-media-subsidiary	+/owned-by,owned,owner,own,subsidiary,is-subsidiary
subsidiary	+/owned-by,owned,owner,own,is-subsidiary
division	+/owned-by,owned,owner,own
purchased	+/owned-by,owned,owner,own,bought,was-bought,bought-out,acquire,acquisitions-such,was-acquire,was-purchased
bought	+/owned-by,owned,owner,own,purchased,was-bought,bought-out,acquire,acquisitions-such,was-acquire,was-purchased
was-bought	+/owned-by,owned,owner,own,purchased,bought,bought-out,acquire,acquisitions-such,was-acquire,was-purchased
bought-out	+/owned-by,owned,owner,own,purchased,bought,was-bought,acquire,acquisitions-such,was-acquire,was-purchased
acquire	+/owned-by,owned,owner,own,purchased,bought,was-bought,bought-out,acquisitions-such,was-acquire,was-purchased
acquisitions-such	+/owned-by,owned,owner,own,purchased,bought,was-bought,bought-out,acquire,was-acquire,was-purchased
was-acquire	+/owned-by,owned,owner,own,purchased,bought,was-bought,bought-out,acquire,acquisitions-such,was-purchased
was-purchased	+/owned-by,owned,owner,own,purchased,bought,was-bought,bought-out,acquire,acquisitions-such,was-acquire
motorway	+/owned-by,owned,owner,own
was-founded	+/owned-by,owned,owner,own
launched	+/owned-by,owned,owner,own
group	+/owned-by,owned,owner,own
corporate-hq	+/owned-by,owned,owner,own,headquarter-complex
headquarter-complex	+/owned-by,owned,owner,own,corporate-hq
formerly	+/owned-by,owned,owner,own
