RULE	EXAMPLE	LEMMA	EXTENDED-LEMMA	TENSE
[X] is named after [Y].	[X]:Boston Mass :is :named :after [Y]:Boston in Lincolnshire	is-name-after	is-name-after	present	N-1
[X] was named after [Y].	[X]:Boston Mass :is :named :after [Y]:Boston in Lincolnshire	is-name-after	is-name-after	past	N-1
[X] is named for [Y].	[X]:Boston Mass :is :named :aftforer [Y]:Boston in Lincolnshire	is-name-for	is-name-for	present	N-1
[X] was named for [Y].	[X]:Boston Mass :is :named :for [Y]:Boston in Lincolnshire	is-name-for	is-name-for	past	N-1
[X], which is named after [Y].	[X]:Boston Mass, :which :is :named :after [Y]:Boston in Lincolnshire	is-name-after	is-name-after	present	N-1
[X], which was named after [Y].	[X]:Boston Mass, :which :is :named :after [Y]:Boston in Lincolnshire	is-name-after	is-name-after	past	N-1
[X], which is named for [Y].	[X]:Boston Mass, :which :is :named :for [Y]:Boston in Lincolnshire	is-name-for	is-name-for	present	N-1
[X], which was named for [Y].	[X]:Boston Mass, :which :is :named :for [Y]:Boston in Lincolnshire	is-name-for	is-name-for	past	N-1
[X], named after [Y].	[X]:Boston Mass, :which :is :named :after [Y]:Boston in Lincolnshire	is-name-after	is-name-after	?	N-1
[X], named for [Y].	[X]:Boston Mass, :which :is :named :for [Y]:Boston in Lincolnshire	is-name-for	is-name-for	?	N-1
[X], named after [Y].	[X]:Boston Mass, named after [Y]:Boston in Lincolnshire.	name-after	name-after	?	N-1
[X] is named in [Y]'s honor.	[X]:Schenley donated the land for the park :named :in [Y]:her honor	is-name-in-honor	is-name-in-honor	present	N-1
[X] was named in [Y]'s honor.	[X]:Schenley donated the land for the park :named :in [Y]:her honor	is-name-in-honor	is-name-in-honor	past	N-1
[X], named in [Y]'s honor.	[X]:Schenley donated the land for the park :named :in [Y]:her honor	is-name-in-honor	is-name-in-honor	?	N-1
[X], which is named in [Y]'s honor.	[X]:Schenley donated the land for the park :named :in [Y]:her honor	is-name-in-honor	is-name-in-honor	present	N-1
[X], which was named in [Y]'s honor.	[X]:Schenley donated the land for the park :named :in [Y]:her honor	is-name-in-honor	is-name-in-honor	past	N-1
[X] is called after [Y].	[X]:Boston Mass :is :called :after [Y]:Boston in Lincolnshire	is-call-after	is-call-after	present	N-1
[X] was called after [Y].	[X]:Boston Mass :is :called :after [Y]:Boston in Lincolnshire	is-call-after	is-nacallme-after	past	N-1
[X], which is called after [Y].	[X]:Boston Mass, :which :is :called :after [Y]:Boston in Lincolnshire	is-call-after	is-call-after	present	N-1
[X], which was called after [Y].	[X]:Boston Mass, :which :is :called :after [Y]:Boston in Lincolnshire	is-call-after	is-call-after	past	N-1
[X], called after [Y].	[X]:Boston Mass, called after [Y]:Boston in Lincolnshire.	call-after	call-after	?	N-1
