affiliated-with	+/follow,official-religion,follower
follower	+/affiliated-with,official-religion,follow
follow	+/follower,official-religion,affiliated-with
convert	+/affiliated-with,practice,follow,official-religion,who-converted,convert,follower
founder	+/affiliated-with,practice,follower,follow,official-religion,establish,founded
scholar	+/affiliated-with,practice,follow,official-religion,scholar-such,scholar-including,follower
philosopher	+/affiliated-with,practice,follow,official-religion,follower
preacher	+/affiliated-with,practice,follow,official-religion,follower
who-converted	+/affiliated-with,practice,follow,official-religion,convert,follower
scholar-such	+/affiliated-with,practice,follow,official-religion, scholar-including,scholar,follower
scholar-including	+/affiliated-with,practice,follow,official-religion,scholar,scholar-such,follower
received-into	+/affiliated-with,practice,follow,official-religion,follower
apostle	+/affiliated-with,practice,follow,official-religion,follower
saint	+/affiliated-with,practice,follow,official-religion,follower
founded	+/affiliated-with,practice,follower,follow,official-religion
establish	+/affiliated-with,practice,follower,follow,official-religion,founder
theologian	+/affiliated-with,practice,follower,follow,official-religion
monastic	+/affiliated-with,practice,follower,follow,official-religion
ordain	+/affiliated-with,practice,follower,follow,official-religion
primary-religion	+/affiliated-with,follower,follow,official-religion
majority-religion	+/affiliated-with,follower,follow,official-religion
one-official-religion	+/affiliated-with,follower,follow,official-religion
official-religion	+/affiliated-with,follower,follow,practice
practice	+/affiliated-with,follower,follow,official-religion
