was-create-in	*/construct-in, was-construct-in, that-construct-in
that-begin-in	*/construct-in, was-construct-in, that-construct-in
begin-in	*/construct-in, was-construct-in, that-construct-in
was-begin-in	*/construct-in, was-construct-in, that-construct-in
that-start-in	*/construct-in, was-construct-in, that-construct-in
start-in	*/construct-in, was-construct-in, that-construct-in
was-start-in	*/construct-in, was-construct-in, that-construct-in
that-create-in	*/construct-in, was-construct-in, that-construct-in
create-in	*/construct-in, was-construct-in, that-construct-in
that-originate-in	*/construct-in, was-construct-in, that-construct-in
originate-in	*/construct-in, was-construct-in, that-construct-in
form-in	*/construct-in, was-construct-in, that-construct-in
was-form-in	*/construct-in, was-construct-in, that-construct-in
that-form-in	*/construct-in, was-construct-in, that-construct-in
was-formulate-in	*/construct-in, was-construct-in, that-construct-in
formulate-in	*/construct-in, was-construct-in, that-construct-in
that-formulate-in	*/construct-in, was-construct-in, that-construct-in
was-construct-in	*/construct-in, that-construct-in
construct-in	*/was-construct-in, that-construct-in
that-construct-in	*/construct-in, was-construct-in
was-made-in	*/construct-in, was-construct-in, that-construct-in
that-made-in	*/construct-in, was-construct-in, that-construct-in
made-in	*/construct-in, was-construct-in, that-construct-in
was-from	*/construct-in, was-construct-in, that-construct-in
that-developed-in	*/construct-in, was-construct-in, that-construct-in
was-developed-in	*/construct-in, was-construct-in, that-construct-in
developed-in	*/construct-in, was-construct-in, that-construct-in
from	*/construct-in, was-construct-in, that-construct-in
