LEMMA	NOT-ENTAILED
unit-of-government	currency,head-government,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate,represent
currency	unit-of-government,head-government,leader,government-body,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate,represent
head-government	unit-of-government,currency,leader,government-body,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate
government-body	currency,head-government,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate,represent
leader	unit-of-government,currency,head-government,government-body,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate
national-parliament	unit-of-government,currency,head-government,government-body,leader,head-state,executive-body,constitution,local-authority,mandate,represent
head-state	unit-of-government,currency,head-government,government-body,leader,national-parliament,parliament,executive-body,constitution,local-authority,mandate
parliament	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,executive-body,constitution,local-authority,mandate,represent
executive-body	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,constitution,local-authority,mandate,represent
legal-entity	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate,represent,legal-term
constitution	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,local-authority,mandate,represent
local-authority	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,constitution,mandate,represent
institution	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate,represent,legal-term
legal-unit	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate,represent,legal-term
mandate	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,represent
represent	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate
legal-term	unit-of-government,currency,head-government,government-body,leader,national-parliament,head-state,parliament,executive-body,constitution,local-authority,mandate,represent
